id,article_id,question,
485,70298,พระมหากษัตริย์พม่าพระองค์ใดได้รับการขนานพระนามว่า พระเจ้าชนะสิบทิศ,
486,70298,พระเจ้าบุเรงนองเป็นพระมหากษัตริย์องค์สำคัญของราชวงศ์ใดของพม่า,
487,51123,พระมหากษัตริย์พระองค์ใดเป็นปฐมกษัตริย์ของราชวงศ์ตองอู,
488,51123,พระเจ้าตะเบ็งชะเวตี้เป็นพระมหากษัตริย์รัชกาลที่เท่าใดในราชวงศ์ตองอูของพม่า,
489,601912,นักกีฬาจักรยานทีมชาติไทยคนใดได้รับรางวัลเหรียญทองจากการแข่งจักรยานในซีเกมส์ 2013,
490,44962,ภาพยนตร์เรื่อง ไททานิก ได้รับรางวัลออสการ์กี่สาขา,
491,12352,อนุสรณ์สถานทัชมาฮาลตั้งอยู่ที่เมืองใดในประเทศอินเดีย,
497,796,ใครเป็นผู้แต่งนิยายเรื่อง พล นิกร กิมหงวน,
498,317635,น้องสาวบุญธรรมของบอย ปกรณ์ ฉัตรบริรักษ์ มีชื่อว่าอะไร,
499,11809,มหาวิทยาลัยรามคำแหงก่อตั้งขึ้นเมื่อปี พ.ศ. ใด,
500,11809,ต้นไม้ประจำมหาวิทยาลัยรามคำแหงคือต้นอะไร,
501,617700,พระพุทธรูปประจำวันศุกร์คือพระพุทธรูปปางใด,
502,617700,พระพุทธรูปประจำวันพฤหัสบดีคือพระพุทธรูปปางใด,
503,112774,พระพุทธรูปเล่อชานที่ตั้งอยู่ในภูเขาเล่อชาน เมืองเฉิงตู ประเทศจีน ได้รับการขึ้นทะเบียนเป็นมรดกโลกเมื่อปี พ.ศ. ใด,
504,387730,นักเขียนนามปากกา ส.พลายน้อย ได้รับยกย่องเป็นศิลปินแห่งชาติสาขาใด,
505,753454,ใครเป็นผู้แต่งเพลงจับมือกันไว้ที่ขับร้องโดยธงไชย แมคอินไตย์,
506,20851,นิติพงษ์ ห่อนาค นักแต่งเพลงชาวไทยที่มีชื่อเสียงเคยเป็นหัวหน้าวงดนตรีที่มีชื่อว่าอะไร,
507,20851,นิติพงษ์ ห่อนาคเรียนจบการศึกษาระดับปริญญาตรีจากคณะใด,
508,56450,ว.ณ เมืองลุง เป็นนามปากกาของใคร,
509,651411,ภาพยนตร์เรื่อง เมซ รันเนอร์ วงกตมฤตยู สร้างมาจากนวนิยายเรื่องใด,
510,762018,มหาวิทยาลัยที่ใหญ่และเก่าแก่ที่สุดในฟินแลนด์มีชื่อว่าอะไร,
511,611,ใครเป็นผู้ก่อตั้งเว็บไซต์พันทิป.คอม,
512,152778,การกีฬาแห่งประเทศไทยเป็นหน่วยงานรัฐวิสาหกิจที่สังกัดกระทรวงใด,
513,132289,ใครเป็นผู้ค้นพบดาวเคราะห์น้อยที่มีชื่อว่า 253 มาทิลเด,
514,295810,กีฬามหาวิทยาลัยแห่งประเทศไทย ครั้งที่ 38 หรือจามจุรีเกมส์ 38 จัดขึ้นเมื่อใด,
515,295810,นิสิตคณะใดเป็นผู้ออกแบบตราสัญลักษณ์ประจำการแข่งขันกีฬามหาวิทยาลัยแห่งประเทศไทย ครั้งที่ 38,
516,469640,เยาวชนที่จะเข้าร่วมการแข่งขันกีฬาโอลิมปิกเยาวชนต้องมีอายุเท่าใด,
517,469640,กีฬาโอลิมปิกเยาวชนจัดขึ้นครั้งแรกที่ประเทศใด,
518,166427,หากไม่นับรวมกระดูกหู กะโหลกศีรษะของมนุษย์ประกอบด้วยกระดูกทั้งหมดกี่ชิ้น,
519,147908,ใครเป็นผู้เรียบเรียงบทกวีของฟินแลนด์เรื่อง กาเลวาลา ซึ่งเป็นวรรณกรรมที่มีส่วนสำคัญในการกระตุ้นจิตวิญญาณของพลเมืองฟินแลนด์,
520,15703,ใครได้รับการขนานนามว่าเป็นบิดาแห่งดาราศาสตร์สมัยใหม่,
521,15703,กาลิเลโอเกิดที่เมืองใดในประเทศอิตาลี,
522,44630,คณะแพทยศาสตร์ มหาวิทยาลัยนเรศวรเป็นคณะแพทยศาสตร์ที่จัดตั้งขึ้นเป็นลำดับที่เท่าไรของประเทศไทย,
523,27944,มหาวิทยาลัยใดก่อตั้งคณะสหเวชศาสตร์เป็นแห่งแรกของประเทศไทย,
524,55588,การแข่งขันคณิตศาสตร์โอลิมปิกจัดขึ้นครั้งแรกที่ประเทศใด,
525,55588,ในปี พ.ศ. 2523 ต้องงดการแข่งขันคณิตศาสตร์โอลิมปิกเนื่องมาจากสาเหตุใด,
526,511178,ครุยวิทยฐานะของจุฬาลงกรณ์มหาวิทยาลัยได้รับพระราชทานพระบรมราชานุญาตจากพระมหากษัตริย์พระองค์ใดให้จัดสร้างขึ้น,
527,511178,เข็มวิทยฐานะของจุฬาลงกรณ์มหาวิทยาลัยมีตราประทับเป็นรูปใด,
528,4475,คำขวัญประจำจังหวัดสุราษฎร์ธานีในปัจจุบันคืออะไร,
984,51369,ลัทธิโอมชินริเกียวเป็นลัทธิในประเทศญี่ปุ่นก่อตั้งโดยบุคคลใด,
985,51369,ลัทธิโอมชินริเกียว ปัจจุบันได้เปลี่ยนชื่อเป็นอะไร,
986,748027,ไวท์มิวสิก เรดคอร์ดส์ เป็นค่ายเพลงย่อยในสังกัดบริษัทอะไร,
987,348250,กะปิ ลิงจ๋อไม่หลอกจ้าว เป็นภาพยนตร์ไทยกำกับโดยใคร,
988,802561,จักรพรรดิโชเกเป็นจักรพรรดิองค์ที่เท่าไรของราชวงศ์ญี่ปุ่น,
989,802561,พระนามเดิมของจักรพรรดิโชเกก่อนขึ้นสืบราชบัลลังก์ชื่อว่าอะไร,
990,312905,กัง คึมยองนักมวยสากลชาวเกาหลีใต้เกิดเมื่อวันที่เท่าใด,
991,188362,นักแสดงเกียรติ กิจเจริญรับบทเป็นใครในภาพยนตร์เรื่องดรีมทีม ฮีโร่ฟันน้ำนม,
992,277231,เคิร์ก วิลเลี่ยม ชิลเลอร์ นักแสดงไทยรับบทภาพยนตร์เรื่องแรกชื่อเรื่องอะไร,
993,277231,ภรรยาของเกริก ชิลเลอร์ชื่ออะไร,
994,546663,พระเจ้าอินทรวรมันที่3แห่งจักรวรรดิเขมรเป็นพระนัดดาของใคร,
995,790004,จักรพรรดิถังหมิงจงในประเทศจีนขึ้นครองราชย์ในปี ค.ศ. ใด,
996,333119,ภาพยนตร์เรื่องใดสร้างชื่อเสียงให้กับเศรยัส ตัฬปเด นักแสดงชาวอินเดีย,
997,333119,เศรยัส ตัฬปเด นักแสดงชาวอินเดียเกิดเมื่อวันที่เท่าใด,
998,508832,ลักษณะเด่นของตัวตุ่นมาร์ซูเปียลคืออะไร,
999,508832,พิงก์แฟรีอาร์มาดิลโลมีชื่อเรียกนภาษาถิ่นว่าอะไร,
1000,18288,ดร.ชิต เหล่าวัฒนา ก่อตั้งสถาบันวิทยาการหุ่นยนต์ภาคสนามในนามว่าอะไร,
1569,480567,ชะจิโฮะโกะเป็นสัตว์ในตำนานของคติชนญี่ปุ่น ที่มีชื่อเรียกอีกอย่างว่าอะไร,
1570,70976,มะเส็ง เป็นชื่อปีที่ 6 ของรอบปีนักษัตร มีสัญลักษณ์เป็นสัตว์อะไร,
1571,70976,ปีนักษัตรมะเส็ง มีสีประจำปีคืออะไร,
1572,869906,พรรคอะไรที่เป็น 1 ใน 3 พรรคที่ให้กำเนิดพรรคคอมมิวนิสต์เวียดนาม ซึ่งอีก 2 พรรคคือ พรรคคอมมิวนิสต์อันนัม และพันธมิตรคอมมิวนิสต์อินโดจีน,
1573,288217,วิทยาลัยชุมชนตาก มีหน่วยจัดการศึกษาจำนวนกี่แห่ง,
1574,737573,นีล โฟลส์ เป็นผู้บรรยายกีฬาสนุกเกอร์ และเป็นอดีตนักสนุกเกอร์อาชีพชาติใด,
1576,276911,จอมพลเป็นยศที่สูงกว่ายศทางทหารยศใด,
